,id,Loai_cho,Chi_tiet,Gioi_tinh,Tuoi,vacxin
47,f775e022df6c477faf8f33c80c53e0bd,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
48,0005c56e185c4cf496ffb19b78606bf2,Shiba Inu,chó Shiba Inu Nhật Bản,đực,02 tháng,đã tiêm 2 mũi
49,02f14e0599a94a6fa371786aafaa7ae7,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
50,09d58128554e4e858387e82c30604bdc,Chihuahua,chó Chihuahua,đực,02 tháng,đã tiêm 2 mũi
51,169733335be74381bbddf83f267296b0,Shiba Inu,chó Shiba Inu Nhật Bản,cái đực,05 tháng,chưa
52,182b5a60683f4a588d946e31abba8471,Shiba Inu,chó Shiba Inu Nhật Bản,cái,06 tháng,đã tiêm 2 mũi
53,1a37f3b9e8764f44a241f333db51144b,Shiba Inu,chó Shiba Inu Nhật Bản,cái,05 tháng,chưa
54,1adf073dce984bf780d30e8f950a4cc7,Alaska,chó Alaska Malamute size Giant,đực,02 tháng,đã tiêm 2 mũi
55,1cb72bb2b1774001b17acf64cf8988a2,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
56,1e16b612d1b2474ea9388a9180e822d7,Alaska,chó Alaska Malamute size Giant,cái,02 tháng,chưa
57,265db58fa6584427b799b9d4edbf0af7,Shiba Inu,chó Shiba Inu Nhật Bản,cái,05 tháng,chưa
58,26f77b81936c43598734bb72f187e0f2,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
59,2806513304db4e2fa48b827f8b67121b,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
60,2820c5114aef4011924d23326b0a2f43,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
61,2a44e0de121e4839860ce3bbee883c2f,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,đã tiêm 2 mũi
62,2be0f844a279483c9486fca385ae6c0f,Samoyed,chó Samoyed,01 đực 01 cái,02 tháng,đã tiêm 2 mũi
63,2df000ebd9c744c38eafa0b3b3390d83,Samoyed,chó Samoyed,cái,02 tháng,chưa
64,331e388148224307978f561dbd2f5060,Samoyed,chó Samoyed,đực,02 tháng,đã tiêm 2 mũi
65,3378399cdff547fb9e213d8f90461f52,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
66,3e18c1b719254fa69179696dbc788164,Poodle,chó Poodle Tiny,đực,02 tháng,chưa
67,47d0ca1e04cc484a8347518e5f2abd4a,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
68,4a40237b95fd438aa80ed47602262036,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
69,4ed2857a0d8e436785f747bc47cb81aa,Bichon,chó Bichons Frise,cái,02 tháng,chưa
70,55bb0b1ed3674a9cbfe8bf5a11013ccb,Poodle,chó Poodle Tiny,đực,02 tháng,chưa
71,5874050a2e5b42348ecf37525f97918d,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
72,6ee07ea56ef940019d1c5d32c76a39a8,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
73,6fce720becbd47be9fcfc7ada60baa4e,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,chưa
74,70101d9ceb214ea888ae0e001555eeaf,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,chưa
75,72d32109862b492d9f0f7e3ea0bfb105,Poodle,chó Poodle Tiny,03 đực 03 cái,02 tháng,chưa
76,747a5b260cb74d56923b76da520a44e1,Poodle,chó Poodle Tiny,cái,02 tháng,đã tiêm 2 mũi
77,79f4742f1b6846ab9a1f4e7ea609b4a8,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
78,7c3e685102ad4080a9908f6b649f43cd,Alaska,chó Alaska Malamute,cái,02 tháng,chưa
79,89e0695b38ab499b8a67475f917d39ff,Poodle,chó Poodle Tiny,đực,02 tháng,chưa
80,900634c5685945a19d2902e0bf515bcf,Poodle,chó Poodle Tiny,cái,02 tháng,chưa
81,91c3856960954cc1a25b80374439dc5a,Poodle,chó Poodle Tiny,cái,02 tháng,đã tiêm 2 mũi
82,96ff14ae76304931bf574f3c1193c45c,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
83,a3b6166a0aa74ae398048a1e2f03a634,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
84,acb99b6ca6c34865a603d3767dc509b1,Poodle,chó Poodle Tiny,cái,02 tháng,chưa
85,ada695a2568a40068b1a137d5f738ece,Poodle,chó Poodle Tiny,cái,02 tháng,đã tiêm 2 mũi
86,b218f83961df4728b4ce65c47fb97d9a,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
87,b31d028403a94845a07cbdfb863a9c32,Alaska,chó Alaska Malamute,đực,02 tháng,đã tiêm 2 mũi
88,b6f40b97ad304de19eeec91d3eb0976a,Corgi,chó Corgi Pembroke,01 cái,2 tháng tuổi,chưa
89,bd94350e7d1148dab73f502ac0d2fc5e,Corgi,chó Corgi Pembroke,01 cái 01 đực,2 tháng tuổi,chưa
90,c0c02309c56340b6b66c2b2cdee24b51,Corgi,chó Corgi Pembroke,đực,2 tháng tuổi,đã tiêm 2 mũi
91,c20c204be3cf47c5b3ca2dc8bdd6d096,Corgi,chó Corgi Pembroke,đực,2 tháng tuổi,chưa
92,c538c9a1146e48b2a739962f24209280,Corgi,chó Corgi Pembroke,đực,2 tháng tuổi,chưa
93,cb31ca8f82e64e8e96ea36bd8054c8ba,Corgi,chó Corgi Pembroke,01 đực 04 cái,2 tháng tuổi,chưa
94,ccb4dd6ee1d2430daf7db1c424dfae1e,Corgi,chó Corgi Pembroke,cái,2 tháng tuổi,đã tiêm 2 mũi
95,dc1c22b3b5a54bc8b031a61cc918282b,Corgi,chó Corgi Pembroke,cái,2 tháng tuổi,chưa
96,dee793fdeb16492ea46b54feb4864432,Corgi,chó Corgi Pembroke,cái,2 tháng tuổi,đã tiêm 2 mũi
97,e0f537ed397f4950857742963e7c0f14,Corgi,chó Corgi Pembroke,cái,2 tháng tuổi,chưa
98,e2b619eaa2d84004a32ae4ce94c36c9a,Corgi,chó Corgi Pembroke,đực,2 tháng tuổi,đã tiêm 2 mũi
99,e4ebc4549a6a48c89b7acdf39bc6cef3,Golden,chó Golden Retriever (Gâu đần),đực,02 tháng,đã tiêm 2 mũi
100,e61aa375b8b84eff86dc2c668de8df19,Poodle,chó Poodle Tiny,cái,02 tháng,chưa
101,e76ff80ab9b84997a02231a047c7582c,Poodle,chó Poodle Tiny,đực,02 tháng,đã tiêm 2 mũi
102,f2180f111be94baa9155adafeb4ae797,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",04 cái 03 đực,02 tháng,chưa
103,f720cd6398374ef1ad11f52368ed3a2d,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",02 cái 02 đực,02 tháng,chưa
104,f9a3f7df1375444cb3c6ca82cc961093,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",đực,02 tháng,chưa
105,fd50cf663c3043daba3e22f014abaf2c,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,đã tiêm 2 mũi
106,fd5d78942d61461da218a91242374764,Phốc sóc,"chó Pomeranian (Phốc sóc, Pom)",cái,02 tháng,đã tiêm 2 mũi
